order_details_id|order_id|pizza_id|quantity
476|203|cali_ckn_l|1
477|203|ital_veggie_m|1
478|203|pep_msh_pep_l|1
479|203|the_greek_s|1
480|204|spicy_ital_l|1
481|205|cali_ckn_s|1
482|205|ckn_alfredo_m|1
483|205|prsc_argla_s|1
484|206|napolitana_m|1
485|206|pepperoni_s|1
486|206|spicy_ital_l|1
487|207|spicy_ital_l|1
488|208|bbq_ckn_l|1
489|208|bbq_ckn_s|1
490|208|ckn_alfredo_m|1
491|208|pepperoni_m|1
492|208|the_greek_m|1
493|209|cali_ckn_l|1
494|210|spinach_fet_s|1
495|211|pepperoni_s|1
496|212|ital_cpcllo_l|1
497|213|four_cheese_l|1
498|214|ital_cpcllo_l|1
499|214|ital_supr_m|1
500|214|mexicana_s|1
501|214|spin_pesto_m|1
502|215|green_garden_s|1
503|216|bbq_ckn_m|1
504|216|five_cheese_l|1
505|216|hawaiian_l|1
506|217|classic_dlx_m|1
507|217|spinach_fet_s|1
508|218|spicy_ital_m|1
509|219|bbq_ckn_l|1
510|219|five_cheese_l|1
511|219|peppr_salami_m|1
512|219|spinach_fet_m|1
513|220|hawaiian_s|1
514|220|ital_cpcllo_s|1
515|220|napolitana_l|1
516|220|spicy_ital_l|1
517|221|five_cheese_l|1
518|221|prsc_argla_m|1
519|221|the_greek_s|1
520|222|four_cheese_l|1
521|222|sicilian_s|1
522|223|pep_msh_pep_s|1
523|224|ckn_alfredo_s|1
524|224|ital_supr_m|1
525|224|napolitana_m|1
526|224|thai_ckn_l|1
527|225|bbq_ckn_l|1
528|225|bbq_ckn_m|1
529|225|southw_ckn_s|1
530|226|classic_dlx_l|1
531|227|bbq_ckn_m|1
532|227|the_greek_m|1
533|228|ital_veggie_s|1
534|229|ital_veggie_l|1
535|229|prsc_argla_l|1
536|229|spin_pesto_s|1
537|230|thai_ckn_m|1
538|231|cali_ckn_l|1
539|231|napolitana_s|1
540|231|prsc_argla_s|1
541|232|bbq_ckn_m|1
542|232|spinach_supr_l|1
543|233|spinach_fet_s|1
544|234|ckn_alfredo_m|1
545|234|ital_supr_s|1
546|234|napolitana_m|1
547|235|cali_ckn_m|1
548|236|classic_dlx_l|1
549|236|green_garden_m|1
550|237|green_garden_s|1
551|238|spin_pesto_l|1
552|239|ital_supr_l|1
553|239|thai_ckn_m|1
554|240|four_cheese_m|1
555|241|sicilian_m|1
556|241|spinach_supr_l|1
557|242|calabrese_m|1
558|242|thai_ckn_l|1
559|242|veggie_veg_m|1
560|243|classic_dlx_l|1
561|243|spinach_supr_s|1
562|244|ital_supr_s|1
563|244|spicy_ital_l|1
564|245|bbq_ckn_l|1
565|245|ckn_pesto_l|1
566|246|ckn_alfredo_m|1
567|246|pepperoni_l|1
568|247|hawaiian_m|1
569|247|sicilian_m|1
570|247|spinach_supr_s|1
571|248|hawaiian_s|1
572|248|thai_ckn_l|1
573|249|bbq_ckn_l|1
574|249|calabrese_s|1
575|250|four_cheese_m|1
576|251|mexicana_m|1
577|252|prsc_argla_m|1
578|253|brie_carre_s|1
579|254|bbq_ckn_l|1
580|254|brie_carre_s|1
581|254|five_cheese_l|1
