order_details_id|order_id|pizza_id|quantity
322|137|mediterraneo_l|1
323|137|pepperoni_s|1
324|137|spicy_ital_m|1
325|138|cali_ckn_m|1
326|138|four_cheese_l|1
327|138|ital_veggie_l|1
328|138|sicilian_m|1
329|139|five_cheese_l|1
330|140|prsc_argla_s|1
331|140|veggie_veg_m|1
332|141|classic_dlx_m|1
333|142|green_garden_m|1
334|143|cali_ckn_s|1
335|143|classic_dlx_s|1
336|143|hawaiian_l|1
337|143|mexicana_m|1
338|143|pepperoni_l|1
339|143|prsc_argla_s|1
340|143|thai_ckn_l|1
341|143|veggie_veg_m|1
342|144|bbq_ckn_m|3
343|144|big_meat_s|1
344|144|cali_ckn_l|1
345|144|ckn_pesto_m|1
346|144|five_cheese_l|1
347|144|four_cheese_l|1
348|144|pep_msh_pep_s|1
349|144|southw_ckn_l|1
350|144|southw_ckn_s|1
351|144|spicy_ital_l|1
352|144|thai_ckn_m|1
353|144|veggie_veg_l|1
354|145|the_greek_s|1
355|146|cali_ckn_l|1
356|146|four_cheese_m|1
357|146|hawaiian_m|1
358|147|the_greek_xl|1
359|148|mediterraneo_s|1
360|149|spinach_fet_m|1
361|150|pepperoni_m|1
362|151|southw_ckn_l|1
363|151|spinach_supr_s|1
364|152|hawaiian_s|1
365|152|spinach_fet_l|1
366|152|thai_ckn_s|1
367|152|the_greek_m|1
368|153|mexicana_m|1
369|154|prsc_argla_s|1
370|155|ckn_pesto_s|1
371|155|napolitana_l|1
372|155|pepperoni_l|1
373|155|peppr_salami_l|1
374|156|napolitana_m|1
375|156|thai_ckn_l|1
376|157|ital_supr_l|1
377|157|mediterraneo_m|1
378|157|sicilian_m|1
379|157|spin_pesto_m|1
380|158|ital_veggie_m|1
381|158|thai_ckn_m|1
382|159|four_cheese_l|1
383|159|thai_ckn_m|1
384|160|classic_dlx_m|1
385|161|hawaiian_s|1
386|161|spicy_ital_m|1
387|161|the_greek_xl|1
388|162|big_meat_s|1
389|163|hawaiian_m|1
390|163|pepperoni_l|1
391|163|the_greek_m|1
392|164|cali_ckn_l|1
393|164|pepperoni_m|1
394|165|prsc_argla_m|1
395|166|prsc_argla_s|1
396|167|bbq_ckn_l|1
397|167|ital_supr_m|1
398|167|pepperoni_m|1
399|168|big_meat_s|1
400|168|veggie_veg_m|1
401|169|four_cheese_l|1
402|169|ital_cpcllo_s|1
403|169|sicilian_m|1
404|170|hawaiian_l|1
405|171|napolitana_m|1
406|172|napolitana_s|1
407|172|spinach_supr_m|1
408|172|thai_ckn_l|1
409|173|cali_ckn_m|1
410|173|classic_dlx_m|1
411|173|veggie_veg_l|1
412|174|big_meat_s|1
413|174|cali_ckn_l|1
414|174|cali_ckn_m|1
415|174|ital_cpcllo_m|1
416|175|ital_supr_l|1
417|176|cali_ckn_l|1
418|176|peppr_salami_m|1
419|177|napolitana_s|1
420|177|thai_ckn_l|1
421|178|peppr_salami_l|1
422|179|hawaiian_l|1
423|179|sicilian_m|1
424|179|veggie_veg_s|1
425|180|classic_dlx_l|1
426|180|prsc_argla_l|1
427|181|mexicana_l|1
428|182|brie_carre_s|1
429|182|peppr_salami_l|1
430|183|napolitana_m|1
431|183|spin_pesto_l|1
432|183|spin_pesto_s|1
433|184|hawaiian_l|1
434|185|sicilian_m|1
435|185|spin_pesto_s|1
436|186|mexicana_l|1
437|186|southw_ckn_l|1
438|186|spin_pesto_l|1
439|186|thai_ckn_l|1
440|187|five_cheese_l|1
441|187|spin_pesto_l|1
442|188|five_cheese_l|1
443|188|pepperoni_s|1
444|188|peppr_salami_l|1
445|189|big_meat_s|2
446|189|thai_ckn_s|1
447|190|bbq_ckn_l|1
448|190|four_cheese_m|1
449|190|pep_msh_pep_s|1
450|190|prsc_argla_l|1
451|191|cali_ckn_l|1
452|191|ckn_alfredo_m|1
453|192|sicilian_s|1
454|192|southw_ckn_l|1
455|193|big_meat_s|1
456|193|cali_ckn_m|1
457|193|ckn_alfredo_l|2
458|194|bbq_ckn_s|1
459|195|bbq_ckn_l|1
460|196|sicilian_s|1
461|196|spicy_ital_m|1
462|196|veggie_veg_m|1
463|197|four_cheese_l|1
464|197|ital_cpcllo_l|1
465|197|ital_veggie_l|1
466|197|soppressata_l|1
467|198|big_meat_s|1
468|198|ckn_alfredo_l|1
469|199|ckn_alfredo_m|1
470|200|the_greek_xl|1
471|201|calabrese_m|1
472|201|ckn_pesto_l|1
473|201|ital_supr_l|1
474|201|the_greek_xl|1
475|202|cali_ckn_s|1
