order_id|date|time
70|2022-01-02|11:38:51
71|2022-01-02|11:40:50
72|2022-01-02|11:57:25
73|2022-01-02|11:58:56
74|2022-01-02|12:01:12
75|2022-01-02|12:10:15
76|2022-01-02|12:21:17
77|2022-01-02|12:22:46
78|2022-01-02|12:28:14
79|2022-01-02|12:29:11
80|2022-01-02|12:35:38
81|2022-01-02|12:40:01
82|2022-01-02|12:45:51
83|2022-01-02|12:53:27
84|2022-01-02|13:13:41
85|2022-01-02|13:34:49
86|2022-01-02|13:40:31
87|2022-01-02|14:01:02
88|2022-01-02|14:10:08
89|2022-01-02|14:30:19
90|2022-01-02|15:08:48
91|2022-01-02|15:14:43
92|2022-01-02|15:17:02
93|2022-01-02|15:29:31
94|2022-01-02|16:17:16
95|2022-01-02|16:18:04
96|2022-01-02|16:21:20
97|2022-01-02|16:45:33
98|2022-01-02|17:18:18
99|2022-01-02|17:45:42
100|2022-01-02|17:46:17
101|2022-01-02|17:51:33
102|2022-01-02|17:54:04
103|2022-01-02|18:02:09
104|2022-01-02|18:02:12
105|2022-01-02|18:12:01
106|2022-01-02|18:12:13
107|2022-01-02|18:25:09
108|2022-01-02|18:25:25
109|2022-01-02|18:27:50
110|2022-01-02|18:36:19
111|2022-01-02|18:38:01
112|2022-01-02|18:41:40
113|2022-01-02|18:50:21
114|2022-01-02|18:59:32
115|2022-01-02|19:05:17
116|2022-01-02|19:18:49
117|2022-01-02|19:23:02
118|2022-01-02|19:26:59
119|2022-01-02|19:32:29
120|2022-01-02|19:35:07
121|2022-01-02|19:38:48
122|2022-01-02|19:50:19
123|2022-01-02|20:12:09
124|2022-01-02|20:12:34
125|2022-01-02|20:31:06
126|2022-01-02|20:53:42
127|2022-01-02|20:58:23
128|2022-01-02|21:05:06
129|2022-01-02|21:13:02
130|2022-01-02|21:14:55
131|2022-01-02|21:33:10
132|2022-01-02|21:42:45
133|2022-01-02|22:00:17
134|2022-01-02|22:13:24
135|2022-01-02|22:29:34
136|2022-01-02|22:32:49
