order_details_id|order_id|pizza_id|quantity
1|1|hawaiian_m|1
2|2|classic_dlx_m|1
3|2|five_cheese_l|1
4|2|ital_supr_l|1
5|2|mexicana_m|1
6|2|thai_ckn_l|1
7|3|ital_supr_m|1
8|3|prsc_argla_l|1
9|4|ital_supr_m|1
10|5|ital_supr_m|1
11|6|bbq_ckn_s|1
12|6|the_greek_s|1
13|7|spinach_supr_s|1
14|8|spinach_supr_s|1
15|9|classic_dlx_s|1
16|9|green_garden_s|1
17|9|ital_cpcllo_l|1
18|9|ital_supr_l|1
19|9|ital_supr_s|1
20|9|mexicana_s|1
21|9|spicy_ital_l|1
22|9|spin_pesto_l|1
23|9|veggie_veg_s|1
24|10|mexicana_l|1
25|10|southw_ckn_l|1
26|11|bbq_ckn_l|1
27|11|cali_ckn_l|1
28|11|cali_ckn_m|1
29|11|pepperoni_l|1
30|12|cali_ckn_l|1
31|12|cali_ckn_s|1
32|12|ckn_pesto_l|1
33|12|ital_supr_m|1
34|13|mexicana_l|1
35|14|the_greek_s|1
36|15|big_meat_s|1
37|15|five_cheese_l|1
38|15|soppressata_l|1
39|15|the_greek_s|1
40|16|four_cheese_l|1
41|16|napolitana_s|1
42|16|thai_ckn_l|1
43|17|bbq_ckn_l|1
44|17|calabrese_m|1
45|17|five_cheese_l|1
46|17|four_cheese_m|1
47|17|ital_supr_m|1
48|17|ital_veggie_s|1
49|17|mediterraneo_m|2
50|17|mexicana_l|1
51|17|peppr_salami_s|1
52|17|spinach_fet_l|1
53|18|napolitana_l|1
54|19|ital_cpcllo_l|1
55|19|sicilian_l|1
56|20|big_meat_s|1
57|20|five_cheese_l|1
58|21|ital_cpcllo_l|1
59|22|five_cheese_l|1
60|22|ital_cpcllo_m|1
61|22|southw_ckn_l|1
62|23|southw_ckn_s|1
63|24|bbq_ckn_m|1
64|24|ital_cpcllo_m|1
65|24|pepperoni_m|1
66|24|prsc_argla_s|1
67|25|sicilian_m|1
68|25|thai_ckn_l|1
69|26|classic_dlx_s|1
70|26|veggie_veg_l|1
71|27|bbq_ckn_l|1
72|27|classic_dlx_m|1
73|27|spinach_fet_l|1
74|28|ckn_alfredo_s|1
75|29|green_garden_s|1
76|30|thai_ckn_l|1
77|31|mexicana_m|1
78|31|pepperoni_s|1
79|32|big_meat_s|1
80|32|green_garden_l|1
81|32|ital_cpcllo_l|1
82|32|ital_supr_m|1
83|33|bbq_ckn_l|1
84|33|green_garden_s|1
85|34|the_greek_s|1
86|35|green_garden_m|1
87|35|pep_msh_pep_l|1
88|35|pepperoni_m|1
89|35|thai_ckn_l|1
90|36|bbq_ckn_m|1
91|36|classic_dlx_m|1
92|37|ital_supr_l|1
93|37|mexicana_l|1
94|38|hawaiian_s|1
95|38|ital_cpcllo_l|1
96|39|ital_supr_l|1
97|40|four_cheese_l|1
98|40|southw_ckn_s|1
99|41|four_cheese_m|1
100|41|green_garden_s|1
101|42|big_meat_s|1
102|42|five_cheese_l|1
103|42|mexicana_l|1
104|42|peppr_salami_m|1
105|43|ckn_alfredo_m|1
106|43|ital_supr_m|1
107|43|peppr_salami_l|1
108|44|spin_pesto_s|1
109|45|four_cheese_l|1
110|45|hawaiian_s|1
111|45|thai_ckn_m|1
112|46|ckn_pesto_l|1
113|46|classic_dlx_l|1
114|46|thai_ckn_m|1
115|47|southw_ckn_l|1
116|47|veggie_veg_s|1
117|48|ckn_pesto_m|1
118|48|green_garden_s|1
119|48|prsc_argla_l|1
120|48|spicy_ital_l|1
121|49|sicilian_l|1
122|50|the_greek_xl|1
123|51|bbq_ckn_l|1
124|51|pep_msh_pep_l|1
125|52|hawaiian_l|1
126|52|mexicana_l|1
127|52|spicy_ital_l|1
128|53|pep_msh_pep_s|1
129|53|spinach_supr_m|1
130|54|prsc_argla_m|1
131|54|thai_ckn_l|1
132|55|peppr_salami_s|1
133|55|spicy_ital_l|1
134|56|classic_dlx_m|1
135|56|mediterraneo_l|1
136|56|southw_ckn_m|1
137|57|classic_dlx_m|1
138|58|five_cheese_l|1
139|58|pepperoni_m|1
140|59|ital_veggie_s|1
141|59|pep_msh_pep_s|1
142|59|pepperoni_l|1
143|60|ckn_pesto_l|1
144|60|four_cheese_m|1
145|61|bbq_ckn_m|1
146|61|ital_supr_l|1
147|62|bbq_ckn_m|1
148|62|spinach_supr_m|1
149|63|pep_msh_pep_m|1
150|64|big_meat_s|1
151|65|pep_msh_pep_s|1
152|65|sicilian_s|1
153|65|spicy_ital_s|1
154|65|spinach_supr_m|1
155|66|classic_dlx_m|1
156|66|ital_cpcllo_m|1
157|67|southw_ckn_l|1
158|68|classic_dlx_m|1
159|68|ital_supr_l|1
160|68|ital_supr_m|1
161|69|bbq_ckn_l|1
